Titel,Namn,Detaljer
Huvudtränare 1921-1923-24,Sándor BRÓDY,Ansvarig i 90 matcher över 3 säsonger
"Huvudtränare 1924/25-1929-30, 1930/31-1931/32, 1942/43",Henning SVENSSON,Ansvarig i 289 matcher över 10 säsonger
"Huvudtränare 1929/30-1929-30, 1932/33-1937/38",Erik HJELM,Ansvarig i 222 matcher över 7 säsonger
Huvudtränare 1937/38-1940-41,David MORRIS,Ansvarig i 106 matcher över 3 säsonger
Huvudtränare 1941/42-1942-43,Ernst ANDERSSON,Ansvarig i 54 matcher över 2 säsonger
Huvudtränare 1943/44-1947-48,József NAGY,Ansvarig i 191 matcher över 5 säsonger
Huvudtränare 1948/49-1948-49,Gunnar RYDBERG,Ansvarig i 45 matcher över 1 säsong
Huvudtränare 1949/50-1952-53,John MAHON,Ansvarig i 158 matcher över 4 säsonger
Huvudtränare 1953/54-1953-54,Axel OHLSSON,Ansvarig i 59 matcher över 3 säsonger
Huvudtränare 1954/55-1959,Walter PROBST,Ansvarig i 206 matcher över 5 säsonger
Interimtränare 1959,Rune EMANUELSSON,Ansvarig i 5 matcher över 1 säsong
Huvudtränare 1959-1960,Josef STROH,Ansvarig i 48 matcher över 2 säsonger
Interimtränare 1960,Gunnar GREN,Ansvarig i 15 matcher över 1 säsong
"Huvudtränare 1961-1962, 1974",Holger HANSSON,Ansvarig i 142 matcher över 3 säsonger
Huvudtränare 1963-1966,Yngve BRODD,Ansvarig i 167 matcher över 4 säsonger
Huvudtränare 1967-1970,Bertil JOHANSSON,Ansvarig i 172 matcher över 4 säsonger
"Huvudtränare 1971-1973, 1977-1978",Hans KARLSSON,Ansvarig i 229 matcher över 6 säsonger
Huvudtränare 1975-1976,Nils BERGHAMN,Ansvarig i 97 matcher över 2 säsonger
Huvudtränare 1979-1982,Sven-Göran ERIKSSON,Ansvarig i 196 matcher över 4 säsonger
"Huvudtränare 1982, 1985-1987",Gunder BENGTSSON,Ansvarig i 204 matcher över 5 säsonger
Huvudtränare 1983-1984,Björn WESTERBERG,Ansvarig i 112 matcher över 2 säsonger
"Huvudtränare 1988-1989, 2006",Kjell PETTERSSON,Ansvarig i 122 matcher över 4 säsonger
"Huvudtränare 1990-1995, 2002",Roger GUSTAFSSON,Ansvarig i 359 matcher över 8 säsonger
Huvudtränare 1996-1998,Mats JINGBLAD,Ansvarig i 142 matcher över 3 säsonger
Huvudtränare 1998-1999,Reine ALMQVIST,Ansvarig i 54 matcher över 2 säsonger
Huvudtränare 1999-2002,Stefan LUNDIN,Ansvarig i 152 matcher över 4 säsonger
Huvudtränare 2003-2004,Bo JOHANSSON,Ansvarig i 84 matcher över 2 säsonger
Huvudtränare 2004-2006,Arne ERLANDSEN,Ansvarig i 101 matcher över 3 säsonger
Huvudtränare 2007-2011,Jonas OLSSON,Ansvarig i 236 matcher över 5 säsonger
Huvudtränare 2007-2010,Stefan REHN,Ansvarig i 167 matcher över 4 säsonger
"Huvudtränare 2012-2014, 2021-2023",Mikael STAHRE,Ansvarig i 211 matcher över 6 säsonger
Huvudtränare 2015-2017,Jörgen LENNARTSSON,Ansvarig i 125 matcher över 3 säsonger
"Interimtränare 2017, 2018, 2020",Alf WESTERBERG,Ansvarig i 18 matcher över 2 säsonger
Huvudtränare 2018-2020,Poya ASBAGHI,Ansvarig i 144 matcher över 4 säsonger
Huvudtränare 2020-2021,Roland NILSSON,Ansvarig i 31 matcher över 2 säsonger
Interimtränare 2023,Alexander TENGRYD,Ansvarig i 14 matcher över 1 säsong
Interimtränare 2023,William LUNDIN,Ansvarig i 14 matcher över 1 säsong
Huvudtränare 2023-2024,Jens ASKOU,Ansvarig i 44 matcher över 2 säsonger
Interimtränare 2024,Sindre TJELMELAND,Ansvarig i 2 matcher över 1 säsong
Huvudtränare 2024-,Stefan BILLBORN,Ansvarig i 19 matcher över 1 säsong
