Datum,Matchtyp,Omgång,Match,Resultat,Spelplats,Publik
20250205,Vänskapsmatch,N/A,IFK&nbspGöteborg – Brentford&nbspFC&nbspB,L 1–2 (1–1),Estádio&nbspAlgarve50,50
20250130,Vänskapsmatch,N/A,IFK&nbspGöteborg – Rosenborg&nbspBK,W 1–0 (1–0),Estádio&nbspAlgarve50,50
20250125,Vänskapsmatch,N/A,Lillestrøm&nbspSK –&nbspIFK&nbspGöteborg,L 2–0 (0–0),LSK-hallen1 500,1500
20241122,Vänskapsmatch,N/A,IK&nbspOddevold –&nbspIFK&nbspGöteborg,W 1–2 (0–1),Arwidsroplanen714,714
20241110,Allsvenskan,30,Mjällby&nbspAIF –&nbspIFK&nbspGöteborg,L 1–0 (1–0),Strandvallen5 362,5362
20241102,Allsvenskan,29,IFK&nbspGöteborg – Kalmar&nbspFF,D 1–1 (1–0),Gamla&nbspUllevi17 287,17287
20241028,Allsvenskan,28,Malmö&nbspFF –&nbspIFK&nbspGöteborg,L 2–1 (0–1),"Stadion,&nbspMalmö21 258",21258
20241021,Allsvenskan,27,IFK&nbspGöteborg – AIK,L 1–2 (0–1),Gamla&nbspUllevi17 165,17165
20241006,Allsvenskan,26,IFK&nbspNorrköping –&nbspIFK&nbspGöteborg,W 0–2 (0–1),Norrköpings&nbspIdrottspark8 767,8767
20240930,Allsvenskan,25,IFK&nbspGöteborg – GAIS,W 2–0 (1–0),Gamla&nbspUllevi18 051,18051
20240926,Allsvenskan,24,Västerås&nbspSK –&nbspIFK&nbspGöteborg,D 1–1 (0–1),Hitachi&nbspEnergy&nbspArena6 252,6252
20240923,Allsvenskan,23,IFK&nbspGöteborg – Halmstads&nbspBK,D 1–1 (0–0),Gamla&nbspUllevi16 065,16065
20240915,Allsvenskan,22,BK&nbspHäcken –&nbspIFK&nbspGöteborg,D 3–3 (1–2),Bravida&nbspArena6 316,6316
20240901,Allsvenskan,21,IFK&nbspGöteborg – Hammarby&nbspIF,L 0–1 (0–0),Gamla&nbspUllevi17 151,17151
20240825,Allsvenskan,20,IF&nbspElfsborg –&nbspIFK&nbspGöteborg,L 3–1 (1–0),Borås&nbspArena13 533,13533
20240822,Svenska cupen,2,Ariana&nbspFC –&nbspIFK&nbspGöteborg,W 0–2 (0–0),Malmö&nbspStadion1 000,1000
20240817,Allsvenskan,19,IFK&nbspGöteborg – IK&nbspSirius,D 1–1 (0–0),Gamla&nbspUllevi15 804,15804
20240810,Allsvenskan,18,IFK&nbspGöteborg – IFK&nbspVärnamo,D 0–0 (0–0),Gamla&nbspUllevi15 761,15761
20240804,Allsvenskan,17,Djurgårdens&nbspIF –&nbspIFK&nbspGöteborg,D 1–1 (1–1),Tele2&nbspArena23 418,23418
20240727,Allsvenskan,16,IFK&nbspGöteborg – IF&nbspBrommapojkarna,L 3–4 (1–1),Gamla&nbspUllevi16 268,16268
20240721,Allsvenskan,15,IFK&nbspGöteborg – Västerås&nbspSK,D 1–1 (0–0),Gamla&nbspUllevi17 137,17137
20240715,Allsvenskan,14,Hammarby&nbspIF –&nbspIFK&nbspGöteborg,W 0–1 (0–1),Tele2&nbspArena26 062,26062
20240707,Allsvenskan,13,IFK&nbspVärnamo –&nbspIFK&nbspGöteborg,L 2–0 (0–0),Finnvedsvallen4 277,4277
20240625,Vänskapsmatch,N/A,IFK&nbspGöteborg – IFK&nbspNorrköping,W 1–0 (1–0),Ullevi1 110,1110
20240620,Vänskapsmatch,N/A,Lillestrøm&nbspSK –&nbspIFK&nbspGöteborg,L 2–0 (1–0),Vigernesjordet50,50
20240601,Allsvenskan,12,IFK&nbspGöteborg – IF&nbspElfsborg,W 1–0 (1–0),Gamla&nbspUllevi17 183,17183
20240527,Allsvenskan,11,AIK –&nbspIFK&nbspGöteborg,L 5–2 (1–1),Friends&nbspArena25 932,25932
20240521,Allsvenskan,10,IFK&nbspGöteborg – Mjällby&nbspAIF,W 1–0 (0–0),Gamla&nbspUllevi15 743,15743
20240516,Allsvenskan,9,IK&nbspSirius –&nbspIFK&nbspGöteborg,D 2–2 (1–0),Studenternas&nbspIdrottsplats6 961,6961
20240513,Allsvenskan,8,IFK&nbspGöteborg – Malmö&nbspFF,L 0–3 (0–2),Gamla&nbspUllevi17 316,17316
20240506,Allsvenskan,7,GAIS –&nbspIFK&nbspGöteborg,L 2–1 (1–0),Gamla&nbspUllevi16 646,16646
20240429,Allsvenskan,6,IF&nbspBrommapojkarna –&nbspIFK&nbspGöteborg,W 0–3 (0–1),Grimsta&nbspIdrottsplats2 289,2289
20240424,Allsvenskan,5,IFK&nbspGöteborg – BK&nbspHäcken,L 0–1 (0–1),Gamla&nbspUllevi17 022,17022
20240420,Allsvenskan,4,IFK&nbspGöteborg – IFK&nbspNorrköping,D 1–1 (1–1),Gamla&nbspUllevi16 861,16861
20240414,Allsvenskan,3,Kalmar&nbspFF –&nbspIFK&nbspGöteborg,W 0–1 (0–0),Guldfågeln&nbspArena6 576,6576
20240407,Allsvenskan,2,Halmstads&nbspBK –&nbspIFK&nbspGöteborg,L 1–0 (1–0),Örjans&nbspvall10 011,10011
20240401,Allsvenskan,1,IFK&nbspGöteborg – Djurgårdens&nbspIF,L 1–4 (0–2),Gamla&nbspUllevi17 879,17879
20240323,Vänskapsmatch,N/A,IFK&nbspGöteborg – Sarpsborg&nbsp08&nbspFF,L 0–3 (0–2),Bravida&nbspArena1 600,1600
20240315,Vänskapsmatch,N/A,Hammarby&nbspIF –&nbspIFK&nbspGöteborg,W 1–3 (0–1),Tele2&nbspArena,
20240308,Vänskapsmatch,N/A,IFK&nbspGöteborg – Östers&nbspIF,W 2–1 (2–1),Bravida&nbspArena,
20240303,Svenska cupen,Grupp 4,Djurgårdens&nbspIF –&nbspIFK&nbspGöteborg,L 3–0 (0–0),Tele2&nbspArena16 684,16684
20240225,Svenska cupen,Grupp 4,IFK&nbspGöteborg – Skövde&nbspAIK,W 1–0 (0–0),Bravida&nbspArena5 074,5074
20240218,Svenska cupen,Grupp 4,Nordic&nbspUnited&nbspFC –&nbspIFK&nbspGöteborg,W 3–4 (2–1),Södertälje&nbspFotbollsarena1 400,1400
