Namn,I Blåvitt,Matcher,Mål,Allsvenska Matcher,Allsvenska Mål
ANDERSSON Arthur,"1904, 1906-1907, 1910",3,0,0,0
ANDERSSON Einar,"1904-1905, 1907",8,0,0,0
ANDERSSON Nils,1904-1911,73,0,0,0
EKMAN Carl,"1904-1906, 1909",9,2,0,0
FAGRELL Arvid,1904-1914,103,65,0,0
FRANZÉN Folke,1904,Okänt,0,0,0
HELGESSON Anders,1904-1905,7,0,0,0
JANSSON Verner,1904-1910,41,6,0,0
JOHANSSON Herbert,1904-1905,1,0,0,0
JOHANSSON Verner,1904-1909,24,0,0,0
JONSSON Ernst,1904-1906,1,0,0,0
KANTEROWITZ Meyer,1904-1906,1,0,0,0
OLSSON Enoch,1904-1905,7,0,0,0
SÄWSTRÖM John,1904-1906,7,0,0,0
THORSTENSON Odd,1904,Okänt,0,0,0
WARBERG Karl-Fredrik,1904-1908,14,0,0,0
DAVIDSSON Emil,1905,6,0,0,0
ANDERSSON Karl,1906,1,0,0,0
DAHLSTRÖM Erik,1906-1907,1,0,0,0
HELLBERG Harry,1906-1913,98,33,0,0
HOLMGREN Knut,"1906, 1908-1915",128,4,0,0
KARLFELDT Fredrik,1906,1,0,0,0
LIDÉN Valter,1906-1910,35,2,0,0
RASMUSSON Ernst,1906,8,0,0,0
RUTGERSSON Oskar,1906-1907,6,0,0,0
RYLANDER Anders,1906,1,0,0,0
ANDERSSON Lindoff,1907-1909,26,2,0,0
BERNTSSON Algot,1907,1,0,0,0
BÖRJESSON Erik,"1907-1911, 1911-1920",220,291,0,0
ERICKSON Ove,1907-1908,5,0,0,0
LUND Erik,1907-1910,27,8,0,0
OLAUSSON John,"1907-1911, 1912-1914",87,17,0,0
PERSSON Bror,1907,5,0,0,0
RUNDBERG Bror,1907-1908,4,1,0,0
TÖRNQVIST Konrad,1907-1923/24,378,48,0,0
BERGELIN Harry,1908-1909,7,0,0,0
BERGSTRÖM Henrik,1908,4,0,0,0
FAGRELL Sven,"1908-1909, 1911",5,0,0,0
LINDBERG Knut,1908,2,0,0,0
LINDE Carl,"1908-1910, 1912",10,0,0,0
SVENSSON Henning,1908-1924/25,367,3,15,1
TELL Olof,1908-1909,17,2,0,0
THYBERG Erik,1908-1909,1,0,0,0
ANDERSSON Clas,1909,1,0,0,0
EDENHOLM Franklin,1909-1910,16,1,0,0
KENNEDY J.,1909,1,0,0,0
KÄRRBY Gunnar,1909-1911,33,0,0,0
LUND Harald,1909-1911,3,2,0,0
PETERSON Vilgot,1909-1910,4,1,0,0
WALLIN Bror,1909,1,0,0,0
ALSTAM Erik,1910,3,0,0,0
ANDERSSON Teodor,1910-1914,60,1,0,0
ARCADIUS Gunnar,1910,10,9,0,0
ASPENGREN Vilgot,1910,1,0,0,0
HOLMÉN Nils,1910,1,0,0,0
